SCODE,Year,FEM_NUM,FEM_RTO,BOARDSIZE,IDOUT_RTO,IDOUT_NUM,AGE_AVERAGE,BRD_AGEMAX_B,BRD_AGEMIN_B,NKILM,ROA,ASS_ROA,ASS,DASS,FRAUD
1515,2017,0,0,9,22.2,2,60,69,54,37,5.41791,167260,172716,38.4,1
1515,2018,0,0,9,22.2,2,61,70,55,37,4.26605,172431,171717,37.6,1
1925,2018,1,4,19,15.8,3,64,80,57,41,8.90847,4035059,4334037,62.1,1
1925,2019,1,4.6,16,18.8,3,65,81,58,41,8.48329,4334037,4627388,61.7,1
8267,2018,3,14.3,9,55.6,5,67,75,60,45,2.27571,9452756,10049680,81.3,1
5471,2018,0,0,10,20,2,61,70,55,17,5.3492,642021,650697,51.1,1
1925,2017,1,4,19,15.8,3,64,79,56,41,9.69078,3555885,4035272,62.5,1
5471,2019,1,7.7,10,30,3,63,71,56,17,3.73415,650697,625899,50.6,1
5121,2017,0,0,9,22.2,2,61,66,54,13,7.2982,33337,36588,30.7,1
7878,2017,0,0,7,14.3,1,63,83,50,33,3.17375,1859,1825,38.8,1
7719,2017,0,0,7,28.6,2,59,81,43,31,-7.47928,4586,4052,77.9,1
3390,2017,1,10,6,50,3,50,70,33,43,-23.26203,1496,1849,59,1
2433,2019,0,0,13,23.1,3,67,85,58,71,6.44123,902002,859887,63.2,1
2433,2018,0,0,13,23.1,3,66,84,57,71,8.62122,798135,905547,65,1
2433,2017,0,0,14,14.3,2,64,83,56,71,7.52911,722051,799901,54.1,1
7519,2017,0,0,5,20,1,62,75,52,43,-11.60131,1836,1731,35.8,1
7729,2017,0,0,11,18.2,2,60,70,52,31,15.12803,114463,132995,25.3,1
1711,2017,0,0,4,25,1,54,69,48,41,-14.25085,2049,2159,87.9,1
5471,2017,0,0,10,20,2,61,69,54,17,6.29257,574169,645041,50.9,1
1878,2018,1,6.3,12,25,3,57,70,51,41,15.68724,842978,859772,64.8,1
